,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,easyJet,easyJet,easyJet,easyJet,53.0,7.0,50.47351286162672
1,2.0,easyJet,easyJet,easyJet,easyJet,308.0,6.0,48.600707144593294
2,20.0,easyJet,easyJet,easyJet,easyJet,301.0,8.0,49.7431723987798
3,20.0,easyJet,easyJet,easyJet,easyJet,263.0,4.0,48.58326609229662
4,20.0,easyJet,easyJet,easyJet,easyJet,282.0,6.0,48.58264632805988
5,2.0,none,none,none,none,25.0,6.0,26.99182178306114
6,2.0,none,none,none,none,49.0,7.0,24.95502775883248
7,2.0,none,none,none,none,92.0,5.0,25.47217598253682
8,20.0,none,none,none,none,20.0,6.0,27.864157021867726
9,20.0,none,none,none,none,184.0,5.0,22.10967595485444
10,20.0,none,none,none,none,46.0,7.0,24.943046822915544
11,20.0,none,none,none,none,301.0,8.0,21.948346708152535
12,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,38.0,5.0,48.145798589514754
13,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,44.0,6.0,48.02412530816303
14,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,42.0,5.0,48.02412530816303
15,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,183.0,6.0,47.871675776350976
16,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,94.0,7.0,47.85237332500395
17,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,85.0,6.0,48.02412530816303
18,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,65.0,4.0,48.25738033173746
19,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,260.0,6.0,47.70133954434717
20,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,115.0,8.0,48.02175502380759
21,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,295.0,6.0,47.70133954434717
22,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,258.0,8.0,48.12593133960398
23,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,310.0,8.0,48.12593133960398
24,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,267.0,5.0,48.60855666771979
25,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,117.0,5.0,49.704417009241055
26,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,185.0,6.0,48.6280375472507
27,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,115.0,5.0,49.704417009241055
28,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,47.0,6.0,49.89075404520502
29,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,103.0,5.0,49.707655031668395
30,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,14.0,6.0,48.972181060560146
31,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,13.0,8.0,49.3571016844857
32,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,257.0,6.0,48.591503480191946
33,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,254.0,8.0,49.752029550911864
34,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,254.0,7.0,48.654928643312154
35,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,61.0,7.0,50.05358261420505
36,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,116.0,4.0,49.687570157922025
37,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,49.0,8.0,49.99660820227918
