,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,119.0,8.0,51.428207336481044
1,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,73.0,7.0,50.5003410342188
2,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,112.0,4.0,52.44974531699323
3,2.0,easyJet,easyJet,easyJet,easyJet,138.0,6.0,50.7310987235352
4,2.0,easyJet,easyJet,easyJet,easyJet,68.0,7.0,52.09592043590753
5,2.0,easyJet,easyJet,easyJet,easyJet,124.0,7.0,52.24473786068457
6,2.0,easyJet,easyJet,easyJet,easyJet,82.0,8.0,52.221087268232154
7,20.0,easyJet,easyJet,easyJet,easyJet,128.0,5.0,52.36684545925525
8,20.0,easyJet,easyJet,easyJet,easyJet,201.0,7.0,49.533377275945895
9,20.0,easyJet,easyJet,easyJet,easyJet,173.0,5.0,49.39261069670634
10,20.0,easyJet,easyJet,easyJet,easyJet,159.0,8.0,50.64677951633989
11,20.0,easyJet,easyJet,easyJet,easyJet,5.0,4.0,52.87801663405888
12,2.0,none,none,none,none,203.0,5.0,43.99987240152423
13,2.0,none,none,none,none,15.0,7.0,24.364332012803775
14,2.0,none,none,none,none,169.0,5.0,44.071798439832705
15,2.0,none,none,none,none,67.0,7.0,29.301331447602763
16,20.0,none,none,none,none,68.0,8.0,30.235365174056433
17,20.0,none,none,none,none,53.0,7.0,27.37190528287352
18,20.0,none,none,none,none,4.0,6.0,24.509748235419277
19,20.0,none,none,none,none,74.0,7.0,29.355725833454862
20,20.0,none,none,none,none,181.0,4.0,43.78978897575635
21,20.0,none,none,none,none,103.0,7.0,29.355725833454862
22,2.0,Ryanair,Ryanair,Ryanair,Ryanair,26.0,4.0,53.12452531961664
23,2.0,Ryanair,Ryanair,Ryanair,Ryanair,148.0,4.0,51.194207510600435
24,2.0,Ryanair,Ryanair,Ryanair,Ryanair,178.0,5.0,49.3120956515329
25,2.0,Ryanair,Ryanair,Ryanair,Ryanair,77.0,5.0,52.41642862011181
26,2.0,Ryanair,Ryanair,Ryanair,Ryanair,116.0,7.0,52.366331381154076
27,2.0,Ryanair,Ryanair,Ryanair,Ryanair,132.0,5.0,50.81913898677997
28,2.0,Ryanair,Ryanair,Ryanair,Ryanair,123.0,7.0,52.366331381154076
29,20.0,Ryanair,Ryanair,Ryanair,Ryanair,201.0,5.0,49.17621894626815
30,20.0,Ryanair,Ryanair,Ryanair,Ryanair,47.0,7.0,52.39008341278916
31,20.0,Ryanair,Ryanair,Ryanair,Ryanair,65.0,4.0,53.29192946733701
32,20.0,Ryanair,Ryanair,Ryanair,Ryanair,174.0,7.0,49.31698552550771
33,20.0,Ryanair,Ryanair,Ryanair,Ryanair,81.0,4.0,53.29192946733701
34,20.0,Ryanair,Ryanair,Ryanair,Ryanair,81.0,8.0,52.41537995889919
35,20.0,Ryanair,Ryanair,Ryanair,Ryanair,151.0,8.0,50.45603666598106
36,20.0,Ryanair,Ryanair,Ryanair,Ryanair,196.0,6.0,49.16911138897565
37,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,55.0,5.0,51.034605239896806
38,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,51.0,8.0,50.98546598758721
39,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,171.0,4.0,51.001738658663754
40,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,70.0,8.0,50.592819310900005
41,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,122.0,5.0,51.93964391051143
42,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,76.0,5.0,51.17584657574236
43,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,208.0,7.0,49.69280819874025
44,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,54.0,5.0,51.065433592871294
45,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,203.0,5.0,49.79053988966423
46,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,37.0,7.0,50.133363678791405
47,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,81.0,6.0,50.49926910024725
48,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,180.0,4.0,50.812372306481
49,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,16.0,7.0,50.48792389010494
50,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,149.0,4.0,51.1846740426236
51,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,172.0,6.0,49.669688209520565
52,2.0,easyJet,easyJet,easyJet,easyJet,46.0,7.0,52.03351835913801
53,2.0,easyJet,easyJet,easyJet,easyJet,120.0,8.0,52.3699046930092
54,20.0,easyJet,easyJet,easyJet,easyJet,54.0,8.0,52.79290904852719
55,20.0,easyJet,easyJet,easyJet,easyJet,139.0,4.0,51.285986806479265
56,20.0,easyJet,easyJet,easyJet,easyJet,206.0,8.0,49.58031361486508
57,2.0,none,none,none,none,43.0,4.0,27.27939182057853
