,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,Ryanair,Ryanair,Ryanair,Ryanair,37.0,6.0,82.53783237030298
1,20.0,Ryanair,Ryanair,Ryanair,Ryanair,12.0,8.0,68.46654376357309
2,2.0,easyJet,easyJet,easyJet,easyJet,2.0,7.0,77.15701311990883
3,2.0,easyJet,easyJet,easyJet,easyJet,101.0,4.0,81.06232294416816
4,2.0,easyJet,easyJet,easyJet,easyJet,59.0,8.0,80.97690167854475
5,20.0,easyJet,easyJet,easyJet,easyJet,2.0,8.0,77.00528882468899
6,20.0,easyJet,easyJet,easyJet,easyJet,26.0,6.0,82.96741854541648
7,2.0,none,none,none,none,34.0,5.0,83.06735232863332
8,2.0,none,none,none,none,92.0,8.0,83.57997652608289
9,2.0,none,none,none,none,63.0,5.0,82.32389502683013
10,2.0,none,none,none,none,156.0,6.0,83.99953298777848
11,2.0,none,none,none,none,58.0,7.0,82.6402814451872
12,20.0,none,none,none,none,122.0,5.0,82.62074499906511
13,20.0,none,none,none,none,110.0,8.0,83.67553806079107
14,2.0,Volotea,Volotea,Volotea,Volotea,6.0,5.0,69.21691927314953
15,2.0,Volotea,Volotea,Volotea,Volotea,154.0,8.0,69.3799533465555
16,2.0,Volotea,Volotea,Volotea,Volotea,101.0,6.0,74.31369767791428
17,2.0,Volotea,Volotea,Volotea,Volotea,111.0,8.0,72.79658462312618
18,20.0,Volotea,Volotea,Volotea,Volotea,8.0,4.0,72.57308395617197
19,20.0,Volotea,Volotea,Volotea,Volotea,102.0,8.0,72.79658462312618
20,20.0,Volotea,Volotea,Volotea,Volotea,122.0,7.0,71.86625204140219
21,20.0,Volotea,Volotea,Volotea,Volotea,117.0,8.0,72.79658462312618
22,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,6.0,7.0,82.75409485024424
23,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,70.0,7.0,86.00391358734451
24,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,98.0,5.0,85.42454561041775
25,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,37.0,5.0,84.65461430543823
26,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,127.0,8.0,86.2619154849637
