,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,none,none,none,none,256.0,6.0,33.02551095111165
1,20.0,none,none,none,none,133.0,7.0,34.288000491937396
2,20.0,none,none,none,none,128.0,4.0,34.83896175269327
3,2.0,Ryanair,Ryanair,Ryanair,Ryanair,40.0,5.0,31.590919721273764
4,2.0,Ryanair,Ryanair,Ryanair,Ryanair,37.0,7.0,31.075224043426495
5,2.0,Ryanair,Ryanair,Ryanair,Ryanair,155.0,7.0,32.029296381575385
6,2.0,Ryanair,Ryanair,Ryanair,Ryanair,189.0,6.0,32.4345031049385
7,20.0,Ryanair,Ryanair,Ryanair,Ryanair,27.0,8.0,32.17004289816257
8,20.0,Ryanair,Ryanair,Ryanair,Ryanair,36.0,7.0,31.322145993837363
9,20.0,Ryanair,Ryanair,Ryanair,Ryanair,89.0,8.0,31.49590199271547
10,2.0,none,none,none,none,40.0,8.0,34.494611335901695
11,2.0,none,none,none,none,131.0,6.0,34.630682671292256
12,2.0,none,none,none,none,36.0,4.0,34.90344457270188
13,2.0,none,none,none,none,89.0,6.0,34.488963754425605
14,2.0,none,none,none,none,189.0,8.0,33.54716915179322
15,20.0,none,none,none,none,132.0,8.0,34.321172037007614
16,20.0,none,none,none,none,118.0,7.0,34.14628157507076
17,20.0,none,none,none,none,264.0,8.0,32.84198069033122
18,20.0,none,none,none,none,261.0,8.0,32.84198069033122
19,20.0,none,none,none,none,22.0,7.0,31.937998503106193
20,20.0,none,none,none,none,164.0,5.0,33.47048277789865
21,20.0,none,none,none,none,16.0,4.0,33.79892314861633
22,20.0,none,none,none,none,267.0,7.0,32.8584671701441
23,20.0,none,none,none,none,162.0,4.0,34.44851750027798
24,2.0,Ryanair,Ryanair,Ryanair,Ryanair,243.0,5.0,32.05619708281817
25,2.0,Ryanair,Ryanair,Ryanair,Ryanair,293.0,7.0,31.924936700961958
26,20.0,Ryanair,Ryanair,Ryanair,Ryanair,129.0,6.0,32.68815883383469
27,20.0,Ryanair,Ryanair,Ryanair,Ryanair,157.0,6.0,32.47488465145451
