,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,none,none,none,none,231.0,6.0,21.1979613907403
1,20.0,none,none,none,none,51.0,5.0,18.3036433201592
2,20.0,none,none,none,none,271.0,7.0,20.866192779281242
3,2.0,Ryanair,Ryanair,Ryanair,Ryanair,35.0,4.0,30.95865854484014
4,2.0,Ryanair,Ryanair,Ryanair,Ryanair,9.0,5.0,30.145662098680454
5,2.0,Ryanair,Ryanair,Ryanair,Ryanair,75.0,5.0,31.00894362971827
6,2.0,Ryanair,Ryanair,Ryanair,Ryanair,227.0,6.0,30.815599731790336
7,20.0,Ryanair,Ryanair,Ryanair,Ryanair,40.0,8.0,31.546772236680226
8,20.0,Ryanair,Ryanair,Ryanair,Ryanair,170.0,5.0,31.10634117040587
9,20.0,Ryanair,Ryanair,Ryanair,Ryanair,250.0,8.0,30.61841451914508
10,20.0,Ryanair,Ryanair,Ryanair,Ryanair,85.0,6.0,30.843608348159727
11,20.0,Ryanair,Ryanair,Ryanair,Ryanair,130.0,7.0,31.144905212487892
12,2.0,easyJet,easyJet,easyJet,easyJet,193.0,8.0,28.88289121461812
13,2.0,easyJet,easyJet,easyJet,easyJet,235.0,5.0,27.185786744837053
14,2.0,easyJet,easyJet,easyJet,easyJet,223.0,8.0,28.88289121461812
15,2.0,easyJet,easyJet,easyJet,easyJet,200.0,5.0,28.53872301584161
16,20.0,easyJet,easyJet,easyJet,easyJet,74.0,6.0,28.47068228576696
17,20.0,easyJet,easyJet,easyJet,easyJet,62.0,5.0,28.43705709914501
18,20.0,easyJet,easyJet,easyJet,easyJet,152.0,4.0,28.437173768481966
19,20.0,easyJet,easyJet,easyJet,easyJet,233.0,5.0,26.989970045700783
20,2.0,none,none,none,none,27.0,8.0,19.119015401809303
21,2.0,none,none,none,none,110.0,6.0,21.1979613907403
22,2.0,none,none,none,none,123.0,7.0,20.896683932859588
23,2.0,none,none,none,none,129.0,6.0,21.1979613907403
24,2.0,none,none,none,none,183.0,8.0,20.58331945549736
25,20.0,none,none,none,none,11.0,8.0,18.94578120362218
26,20.0,none,none,none,none,168.0,5.0,20.36707004690217
27,20.0,none,none,none,none,182.0,8.0,20.552828301919014
28,20.0,none,none,none,none,151.0,8.0,20.552828301919014
29,20.0,none,none,none,none,75.0,5.0,19.059657496377486
30,20.0,none,none,none,none,65.0,4.0,19.17084369659994
31,20.0,none,none,none,none,273.0,7.0,20.866192779281242
32,20.0,none,none,none,none,223.0,5.0,20.36707004690217
33,20.0,none,none,none,none,166.0,7.0,20.866192779281242
34,20.0,none,none,none,none,263.0,4.0,19.92597122228332
35,2.0,Ryanair,Ryanair,Ryanair,Ryanair,80.0,5.0,31.224424487963667
36,20.0,Ryanair,Ryanair,Ryanair,Ryanair,11.0,6.0,29.720067885380168
37,20.0,Ryanair,Ryanair,Ryanair,Ryanair,36.0,6.0,31.4533991144291
38,20.0,Ryanair,Ryanair,Ryanair,Ryanair,59.0,7.0,30.953706582869756
39,2.0,easyJet,easyJet,easyJet,easyJet,32.0,6.0,30.7161407508531
40,2.0,easyJet,easyJet,easyJet,easyJet,236.0,7.0,27.529954943613568
41,2.0,easyJet,easyJet,easyJet,easyJet,88.0,7.0,28.944342262902268
42,2.0,easyJet,easyJet,easyJet,easyJet,88.0,8.0,28.944342262902268
43,20.0,easyJet,easyJet,easyJet,easyJet,175.0,4.0,28.437173768481966
44,20.0,easyJet,easyJet,easyJet,easyJet,93.0,7.0,28.78122529792152
45,20.0,easyJet,easyJet,easyJet,easyJet,17.0,6.0,30.437010665244873
46,20.0,easyJet,easyJet,easyJet,easyJet,157.0,8.0,28.78122529792152
47,2.0,none,none,none,none,48.0,5.0,18.292689820798564
48,2.0,none,none,none,none,110.0,4.0,20.44181492895312
49,2.0,none,none,none,none,114.0,6.0,21.1979613907403
50,2.0,none,none,none,none,2.0,5.0,18.386947768996187
51,20.0,none,none,none,none,196.0,7.0,20.866192779281242
52,20.0,none,none,none,none,157.0,4.0,19.92597122228332
53,20.0,none,none,none,none,237.0,7.0,20.866192779281242
54,20.0,none,none,none,none,226.0,7.0,20.866192779281242
55,20.0,none,none,none,none,238.0,5.0,20.36707004690217
56,20.0,none,none,none,none,252.0,7.0,20.866192779281242
57,2.0,Ryanair,Ryanair,Ryanair,Ryanair,125.0,7.0,31.43546354738428
58,2.0,Ryanair,Ryanair,Ryanair,Ryanair,62.0,5.0,31.285627676108124
59,20.0,Ryanair,Ryanair,Ryanair,Ryanair,66.0,4.0,30.729494952579767
60,20.0,Ryanair,Ryanair,Ryanair,Ryanair,42.0,6.0,30.86033346061863
61,20.0,Ryanair,Ryanair,Ryanair,Ryanair,200.0,8.0,31.144905212487892
62,2.0,easyJet,easyJet,easyJet,easyJet,170.0,8.0,28.88289121461812
63,2.0,easyJet,easyJet,easyJet,easyJet,25.0,5.0,29.610143551946965
64,2.0,easyJet,easyJet,easyJet,easyJet,194.0,6.0,28.57234820246356
65,2.0,easyJet,easyJet,easyJet,easyJet,129.0,8.0,28.88289121461812
66,20.0,easyJet,easyJet,easyJet,easyJet,52.0,4.0,28.437173768481966
67,20.0,easyJet,easyJet,easyJet,easyJet,182.0,8.0,28.78122529792152
68,20.0,easyJet,easyJet,easyJet,easyJet,63.0,4.0,28.437173768481966
69,2.0,none,none,none,none,31.0,6.0,19.287160465632528
70,2.0,none,none,none,none,185.0,4.0,20.44181492895312
71,2.0,none,none,none,none,7.0,8.0,18.819205109010774
72,2.0,none,none,none,none,59.0,8.0,18.211486547653937
