,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,20.0,none,none,none,none,37.0,8.0,22.298116295035232
1,20.0,none,none,none,none,114.0,4.0,24.31942283607962
2,2.0,Ryanair,Ryanair,Ryanair,Ryanair,117.0,6.0,25.7256486258429
3,20.0,Ryanair,Ryanair,Ryanair,Ryanair,82.0,7.0,25.978089495016754
4,20.0,Ryanair,Ryanair,Ryanair,Ryanair,112.0,4.0,26.289582652983505
5,2.0,none,none,none,none,59.0,5.0,23.23618033349762
6,2.0,none,none,none,none,63.0,8.0,20.269249584535938
7,20.0,none,none,none,none,19.0,6.0,22.54153680192039
8,20.0,none,none,none,none,61.0,8.0,20.189090339550464
9,20.0,none,none,none,none,100.0,5.0,24.499639162250322
10,20.0,none,none,none,none,95.0,5.0,24.499639162250322
11,20.0,none,none,none,none,111.0,4.0,24.31942283607962
12,2.0,Ryanair,Ryanair,Ryanair,Ryanair,1.0,5.0,27.319152048169222
13,2.0,Ryanair,Ryanair,Ryanair,Ryanair,33.0,5.0,28.021471552386892
14,2.0,Ryanair,Ryanair,Ryanair,Ryanair,68.0,4.0,25.64119899803177
15,2.0,Ryanair,Ryanair,Ryanair,Ryanair,131.0,7.0,25.514684307158728
16,2.0,Ryanair,Ryanair,Ryanair,Ryanair,78.0,6.0,25.34648247272674
17,20.0,Ryanair,Ryanair,Ryanair,Ryanair,10.0,4.0,26.393404179065925
18,20.0,Ryanair,Ryanair,Ryanair,Ryanair,55.0,6.0,26.00062500009838
19,20.0,Ryanair,Ryanair,Ryanair,Ryanair,51.0,7.0,25.911910653150773
20,2.0,none,none,none,none,14.0,4.0,22.667272510767855
21,2.0,none,none,none,none,63.0,7.0,22.569303081550025
22,20.0,none,none,none,none,50.0,8.0,22.48672154450845
23,20.0,none,none,none,none,54.0,4.0,23.73381381854096
24,2.0,Ryanair,Ryanair,Ryanair,Ryanair,52.0,6.0,25.280303630860764
25,2.0,Ryanair,Ryanair,Ryanair,Ryanair,77.0,7.0,25.135518154042575
26,20.0,Ryanair,Ryanair,Ryanair,Ryanair,12.0,6.0,26.323579886290666
27,20.0,Ryanair,Ryanair,Ryanair,Ryanair,58.0,6.0,26.00062500009838
28,20.0,Ryanair,Ryanair,Ryanair,Ryanair,27.0,4.0,28.193170537259363
29,20.0,Ryanair,Ryanair,Ryanair,Ryanair,37.0,6.0,28.219902503443695
30,2.0,none,none,none,none,12.0,8.0,22.357720058749077
31,2.0,none,none,none,none,21.0,7.0,23.061769645342444
32,2.0,none,none,none,none,30.0,5.0,22.87405467252179
33,2.0,none,none,none,none,56.0,5.0,23.23618033349762
34,2.0,none,none,none,none,56.0,7.0,23.433824735900917
35,2.0,none,none,none,none,74.0,6.0,22.037021666871006
36,20.0,none,none,none,none,83.0,6.0,22.137246179785308
37,2.0,Ryanair,Ryanair,Ryanair,Ryanair,87.0,7.0,25.514684307158728
38,2.0,Ryanair,Ryanair,Ryanair,Ryanair,74.0,7.0,25.135518154042575
39,2.0,Ryanair,Ryanair,Ryanair,Ryanair,76.0,5.0,25.54130714100904
40,2.0,Ryanair,Ryanair,Ryanair,Ryanair,66.0,4.0,25.64119899803177
41,20.0,Ryanair,Ryanair,Ryanair,Ryanair,8.0,5.0,26.90742396480694
42,20.0,Ryanair,Ryanair,Ryanair,Ryanair,25.0,7.0,28.333728952759294
43,20.0,Ryanair,Ryanair,Ryanair,Ryanair,89.0,7.0,26.462747112414085
44,20.0,Ryanair,Ryanair,Ryanair,Ryanair,110.0,6.0,26.551461459361697
45,2.0,none,none,none,none,85.0,7.0,25.58687080305571
46,2.0,none,none,none,none,32.0,4.0,23.656131825693535
47,20.0,none,none,none,none,96.0,5.0,24.499639162250322
48,2.0,Ryanair,Ryanair,Ryanair,Ryanair,9.0,7.0,25.8550117741338
49,2.0,Ryanair,Ryanair,Ryanair,Ryanair,110.0,5.0,25.92047329412519
50,2.0,none,none,none,none,18.0,7.0,23.061769645342444
51,2.0,none,none,none,none,7.0,5.0,22.8499923382489
52,2.0,none,none,none,none,131.0,6.0,24.656386020377738
53,20.0,none,none,none,none,53.0,7.0,23.983565871071796
54,2.0,Ryanair,Ryanair,Ryanair,Ryanair,15.0,5.0,28.08532846606394
55,2.0,Ryanair,Ryanair,Ryanair,Ryanair,3.0,8.0,28.719022228381284
56,2.0,Ryanair,Ryanair,Ryanair,Ryanair,31.0,4.0,28.121363409409618
57,2.0,Ryanair,Ryanair,Ryanair,Ryanair,220.0,8.0,25.514684307158728
58,20.0,Ryanair,Ryanair,Ryanair,Ryanair,12.0,8.0,26.285471522496817
59,20.0,Ryanair,Ryanair,Ryanair,Ryanair,32.0,5.0,28.35368596652766
60,20.0,Ryanair,Ryanair,Ryanair,Ryanair,56.0,8.0,25.911910653150773
61,20.0,Ryanair,Ryanair,Ryanair,Ryanair,76.0,6.0,26.06680384196436
62,2.0,none,none,none,none,63.0,6.0,22.037021666871006
63,20.0,none,none,none,none,8.0,7.0,23.371884754129713
64,20.0,none,none,none,none,16.0,7.0,23.249467989303035
65,20.0,none,none,none,none,29.0,7.0,23.314939920212844
66,20.0,none,none,none,none,80.0,5.0,22.47188319206104
67,20.0,none,none,none,none,77.0,6.0,22.137246179785308
68,20.0,none,none,none,none,75.0,8.0,20.189090339550464
69,2.0,Ryanair,Ryanair,Ryanair,Ryanair,82.0,7.0,25.135518154042575
70,20.0,Ryanair,Ryanair,Ryanair,Ryanair,22.0,6.0,28.242701959799756
71,20.0,Ryanair,Ryanair,Ryanair,Ryanair,23.0,4.0,28.193170537259363
72,20.0,Ryanair,Ryanair,Ryanair,Ryanair,127.0,4.0,26.289582652983505
73,20.0,Ryanair,Ryanair,Ryanair,Ryanair,222.0,7.0,26.462747112414085
74,2.0,none,none,none,none,8.0,8.0,22.254133884889498
75,2.0,none,none,none,none,87.0,8.0,22.888613938042674
