,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,Ryanair,Ryanair,Ryanair,Ryanair,104.0,4.0,34.93056910994726
1,20.0,Ryanair,Ryanair,Ryanair,Ryanair,144.0,8.0,33.6679560336311
2,20.0,Ryanair,Ryanair,Ryanair,Ryanair,86.0,6.0,34.09634291087647
3,2.0,none,none,none,none,163.0,7.0,29.76526855535486
4,2.0,none,none,none,none,68.0,8.0,28.02185489219688
5,2.0,none,none,none,none,60.0,8.0,27.395826520419956
6,20.0,none,none,none,none,24.0,4.0,21.17208190140738
7,20.0,none,none,none,none,49.0,5.0,22.296343802647606
8,20.0,none,none,none,none,134.0,8.0,30.3702131325797
9,20.0,none,none,none,none,237.0,5.0,29.567459084347142
10,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,25.0,4.0,30.083096146594773
11,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,70.0,6.0,31.032531663496503
12,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,236.0,5.0,31.91419362691592
13,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,64.0,8.0,31.457291620222442
14,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,71.0,5.0,30.856675629957117
15,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,20.0,8.0,30.880926123177904
16,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,106.0,4.0,31.800071271320075
17,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,210.0,8.0,31.85411765257145
18,2.0,Ryanair,Ryanair,Ryanair,Ryanair,209.0,5.0,34.98363585952001
19,2.0,Ryanair,Ryanair,Ryanair,Ryanair,83.0,4.0,33.25938519249688
20,2.0,Ryanair,Ryanair,Ryanair,Ryanair,30.0,6.0,33.13407256048414
21,2.0,Ryanair,Ryanair,Ryanair,Ryanair,0.0,4.0,33.01545942129786
22,20.0,Ryanair,Ryanair,Ryanair,Ryanair,109.0,5.0,34.93901602377203
23,20.0,Ryanair,Ryanair,Ryanair,Ryanair,57.0,5.0,32.7732406670055
24,20.0,Ryanair,Ryanair,Ryanair,Ryanair,26.0,8.0,32.476559214454724
25,20.0,Ryanair,Ryanair,Ryanair,Ryanair,93.0,5.0,34.369463405370794
26,20.0,Ryanair,Ryanair,Ryanair,Ryanair,3.0,5.0,32.81950939149821
27,20.0,Ryanair,Ryanair,Ryanair,Ryanair,275.0,8.0,33.6679560336311
28,20.0,Ryanair,Ryanair,Ryanair,Ryanair,104.0,7.0,33.764400949519256
29,20.0,Ryanair,Ryanair,Ryanair,Ryanair,143.0,6.0,34.41467631414592
30,20.0,Ryanair,Ryanair,Ryanair,Ryanair,159.0,8.0,33.6679560336311
31,20.0,Ryanair,Ryanair,Ryanair,Ryanair,137.0,6.0,34.41467631414592
32,2.0,none,none,none,none,44.0,7.0,21.50769344249221
33,2.0,none,none,none,none,152.0,8.0,30.44922692198014
34,20.0,none,none,none,none,74.0,4.0,28.440384487412377
35,20.0,none,none,none,none,234.0,4.0,30.03228713129859
36,20.0,none,none,none,none,82.0,6.0,29.241725627099548
37,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,20.0,4.0,30.058972508599858
38,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,235.0,6.0,31.750642003063568
39,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,5.0,6.0,29.66751320531451
40,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,5.0,5.0,29.709416626034965
41,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,152.0,7.0,31.671218719039057
42,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,37.0,6.0,30.52713128052997
43,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,80.0,4.0,30.856675629957117
44,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,155.0,5.0,31.800071271320075
45,2.0,Ryanair,Ryanair,Ryanair,Ryanair,109.0,8.0,33.79970924275914
46,2.0,Ryanair,Ryanair,Ryanair,Ryanair,83.0,7.0,32.96962610628505
47,2.0,Ryanair,Ryanair,Ryanair,Ryanair,94.0,4.0,34.36101649154602
48,2.0,Ryanair,Ryanair,Ryanair,Ryanair,159.0,8.0,33.79970924275914
49,20.0,Ryanair,Ryanair,Ryanair,Ryanair,45.0,6.0,32.78743451446944
50,20.0,Ryanair,Ryanair,Ryanair,Ryanair,16.0,7.0,32.61611729978468
51,20.0,Ryanair,Ryanair,Ryanair,Ryanair,162.0,6.0,34.41467631414592
52,20.0,Ryanair,Ryanair,Ryanair,Ryanair,235.0,6.0,34.41467631414592
53,2.0,none,none,none,none,10.0,8.0,25.04287289029333
54,2.0,none,none,none,none,73.0,6.0,28.405619394391522
55,2.0,none,none,none,none,121.0,6.0,29.76526855535486
56,2.0,none,none,none,none,105.0,8.0,30.44922692198014
57,20.0,none,none,none,none,81.0,7.0,29.241725627099548
58,20.0,none,none,none,none,56.0,4.0,25.065690260678508
59,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,93.0,5.0,31.065917897008603
60,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,114.0,5.0,31.91419362691592
61,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,14.0,8.0,30.91725508921873
