,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,airBaltic,airBaltic,airBaltic,airBaltic,37.0,6.0,236.33691938764838
1,20.0,airBaltic,airBaltic,airBaltic,airBaltic,103.0,4.0,246.05283092002446
2,20.0,airBaltic,airBaltic,airBaltic,airBaltic,126.0,5.0,181.40721566321878
3,2.0,Pobeda,Pobeda,Pobeda,Pobeda,129.0,8.0,351.21037041603165
4,2.0,Pobeda,Pobeda,Pobeda,Pobeda,77.0,4.0,386.047676790989
5,2.0,Pobeda,Pobeda,Pobeda,Pobeda,10.0,4.0,349.6986983221005
6,2.0,Pobeda,Pobeda,Pobeda,Pobeda,107.0,6.0,350.815057170029
7,20.0,Pobeda,Pobeda,Pobeda,Pobeda,188.0,7.0,328.26636962755845
8,20.0,Pobeda,Pobeda,Pobeda,Pobeda,125.0,4.0,293.07923082733583
9,20.0,Pobeda,Pobeda,Pobeda,Pobeda,73.0,7.0,400.59057608161845
10,20.0,Pobeda,Pobeda,Pobeda,Pobeda,89.0,6.0,355.87912548285806
11,20.0,Pobeda,Pobeda,Pobeda,Pobeda,140.0,5.0,293.75564851026263
12,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,141.0,7.0,180.38627736870828
13,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,36.0,4.0,201.09238948778918
14,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,244.0,7.0,167.7568131405388
15,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,48.0,4.0,201.09238948778918
16,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,191.0,6.0,165.5025729809454
17,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,109.0,4.0,200.61919206265938
18,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,175.0,8.0,169.84195068683667
19,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,43.0,4.0,201.09238948778918
20,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,148.0,5.0,179.14640543374028
21,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,35.0,4.0,201.09238948778918
22,2.0,Vueling,Vueling,Vueling,Vueling,209.0,5.0,161.26579731195704
23,2.0,Vueling,Vueling,Vueling,Vueling,32.0,5.0,182.9855934685919
24,2.0,Vueling,Vueling,Vueling,Vueling,37.0,7.0,182.9855934685919
25,2.0,Vueling,Vueling,Vueling,Vueling,157.0,7.0,167.21457236755992
26,2.0,Vueling,Vueling,Vueling,Vueling,208.0,4.0,162.50283865940224
27,20.0,Vueling,Vueling,Vueling,Vueling,166.0,7.0,167.21457236755992
28,20.0,Vueling,Vueling,Vueling,Vueling,16.0,4.0,180.79729249067557
29,20.0,Vueling,Vueling,Vueling,Vueling,143.0,7.0,175.72301915143447
30,20.0,Vueling,Vueling,Vueling,Vueling,9.0,4.0,175.76689641487556
31,20.0,Vueling,Vueling,Vueling,Vueling,27.0,5.0,182.9855934685919
32,20.0,Vueling,Vueling,Vueling,Vueling,142.0,4.0,177.35918410950086
33,20.0,Vueling,Vueling,Vueling,Vueling,152.0,5.0,167.0757941552676
34,20.0,Vueling,Vueling,Vueling,Vueling,152.0,6.0,166.6487834093428
35,20.0,Vueling,Vueling,Vueling,Vueling,46.0,6.0,183.81826780719274
36,2.0,airBaltic,airBaltic,airBaltic,airBaltic,31.0,7.0,242.18917884642943
37,2.0,airBaltic,airBaltic,airBaltic,airBaltic,168.0,6.0,171.45960719633268
38,2.0,airBaltic,airBaltic,airBaltic,airBaltic,36.0,5.0,236.33691938764838
39,2.0,airBaltic,airBaltic,airBaltic,airBaltic,74.0,6.0,244.27029112869258
40,2.0,airBaltic,airBaltic,airBaltic,airBaltic,250.0,7.0,167.77244469380202
41,20.0,airBaltic,airBaltic,airBaltic,airBaltic,83.0,7.0,243.32812003493422
42,20.0,airBaltic,airBaltic,airBaltic,airBaltic,3.0,4.0,234.58935971176
43,20.0,airBaltic,airBaltic,airBaltic,airBaltic,111.0,7.0,242.2271822266659
44,20.0,airBaltic,airBaltic,airBaltic,airBaltic,32.0,7.0,243.21812699546064
45,20.0,airBaltic,airBaltic,airBaltic,airBaltic,141.0,4.0,175.805240298994
46,20.0,airBaltic,airBaltic,airBaltic,airBaltic,210.0,8.0,194.77875442277633
47,20.0,airBaltic,airBaltic,airBaltic,airBaltic,136.0,5.0,177.87003987750052
48,20.0,airBaltic,airBaltic,airBaltic,airBaltic,37.0,4.0,237.76750252578586
49,20.0,airBaltic,airBaltic,airBaltic,airBaltic,48.0,5.0,246.5485979780412
50,20.0,airBaltic,airBaltic,airBaltic,airBaltic,25.0,8.0,258.6687391746393
51,2.0,Pobeda,Pobeda,Pobeda,Pobeda,122.0,4.0,289.4578577021766
52,2.0,Pobeda,Pobeda,Pobeda,Pobeda,211.0,6.0,283.0445360931438
53,20.0,Pobeda,Pobeda,Pobeda,Pobeda,19.0,6.0,343.9226239299288
54,20.0,Pobeda,Pobeda,Pobeda,Pobeda,18.0,5.0,342.04822701640967
55,20.0,Pobeda,Pobeda,Pobeda,Pobeda,288.0,6.0,287.475738733542
56,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,247.0,5.0,167.45910300728733
57,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,175.0,5.0,167.34078343750147
58,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,175.0,7.0,167.63849357075296
59,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,83.0,8.0,209.82177448068947
60,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,127.0,5.0,185.48494351448852
61,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,11.0,6.0,200.03516674010638
62,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,119.0,7.0,202.67356260616498
63,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,137.0,5.0,179.14640543374028
64,2.0,Vueling,Vueling,Vueling,Vueling,102.0,4.0,181.69933662760496
65,2.0,Vueling,Vueling,Vueling,Vueling,251.0,7.0,163.17116861958817
66,20.0,Vueling,Vueling,Vueling,Vueling,12.0,4.0,175.76689641487556
67,20.0,Vueling,Vueling,Vueling,Vueling,144.0,8.0,178.22251192326607
68,20.0,Vueling,Vueling,Vueling,Vueling,60.0,4.0,183.1281842398913
69,2.0,airBaltic,airBaltic,airBaltic,airBaltic,181.0,4.0,169.21100094759473
70,2.0,airBaltic,airBaltic,airBaltic,airBaltic,168.0,8.0,194.75732386452594
71,2.0,airBaltic,airBaltic,airBaltic,airBaltic,101.0,6.0,243.37288908156953
72,2.0,airBaltic,airBaltic,airBaltic,airBaltic,85.0,4.0,243.2437586400271
73,20.0,airBaltic,airBaltic,airBaltic,airBaltic,125.0,5.0,181.40721566321878
74,20.0,airBaltic,airBaltic,airBaltic,airBaltic,36.0,8.0,258.6687391746393
75,20.0,airBaltic,airBaltic,airBaltic,airBaltic,39.0,5.0,237.36586753667956
76,20.0,airBaltic,airBaltic,airBaltic,airBaltic,101.0,5.0,245.65119593091813
77,20.0,airBaltic,airBaltic,airBaltic,airBaltic,62.0,4.0,246.95023296714754
78,20.0,airBaltic,airBaltic,airBaltic,airBaltic,156.0,5.0,170.1033998266048
79,2.0,Pobeda,Pobeda,Pobeda,Pobeda,31.0,5.0,343.29330992193036
80,2.0,Pobeda,Pobeda,Pobeda,Pobeda,116.0,4.0,287.02891137777794
81,2.0,Pobeda,Pobeda,Pobeda,Pobeda,29.0,8.0,392.0538936878759
82,20.0,Pobeda,Pobeda,Pobeda,Pobeda,129.0,6.0,293.8890603425748
83,20.0,Pobeda,Pobeda,Pobeda,Pobeda,285.0,7.0,328.26636962755845
84,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,134.0,7.0,186.15762794945653
85,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,123.0,4.0,199.31352739814156
86,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,38.0,6.0,202.77269878685843
87,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,136.0,7.0,186.15762794945653
88,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,154.0,8.0,170.63176672645108
89,2.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,158.0,7.0,167.63849357075296
90,20.0,Wizz Air,Wizz Air,Wizz Air,Wizz Air,174.0,8.0,169.84195068683667
