Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
easyJet; 0; 02 zł; 07:00; Milan MXPMilan (Malpensa) MXP; 12:15; Hurghada HRG
Egypt; 04/08/19; Air Arabia Egypt; 0; 78 zł; 02:05; Luxor LXR; 03:05; Sharm El S SSH
Egypt; 12/08/19; Air Arabia Egypt; 0; 78 zł; 02:15; Sharm El S SSH; 03:15; Luxor LXR
Egypt; 20/05/19; Air Arabia Egypt; 0; 78 zł; 02:15; Sharm El S SSH; 03:15; Luxor LXR
Egypt; 26/05/19; Air Arabia Egypt; 0; 78 zł; 02:05; Luxor LXR; 03:05; Sharm El S SSH
Egypt; 29/11/19; easyJet; 0; 67 zł; 21:10; Hurghada HRG; 01:10; London STNLondon (Stansted) STN
Egypt; 04/12/19; Ryanair; 1; 21 zł; 08:45; London STNLondon (Stansted) STN; 19:40; Hurghada HRG
Egypt; 04/12/19; easyJet; 1; 17 zł; 14:25; Milan MXPMilan (Malpensa) MXP; 11:40; Milan MXPMilan (Malpensa) MXP FR8729
Scotland; 25/04/19; Ryanair; 0; 9 zł; 07:00; Edinburgh EDI; 10:10; Stockholm NYOStockholm (Skavsta) NYO
Scotland; 29/04/19; Ryanair; 0; 2 zł; 10:10; Stockholm NYOStockholm (Skavsta) NYO; 11:20; Edinburgh EDI
Scotland; 09/05/19; Ryanair; 0; 9 zł; 11:30; Edinburgh EDI; 14:10; Dusseldorf NRNDusseldorf (Weeze) NRN
Scotland; 16/05/19; Ryanair; 0; 2 zł; 14:35; Dusseldorf NRNDusseldorf (Weeze) NRN; 15:15; Edinburgh EDI
Scotland; 15/05/19; Ryanair; 0; 9 zł; 13:50; Edinburgh EDI; 16:40; Luxembourg LUX
Scotland; 22/05/19; Ryanair; 0; 2 zł; 17:15; Luxembourg LUX; 18:05; Edinburgh EDI
Scotland; 23/05/19; Ryanair; 0; 9 zł; 19:35; Edinburgh EDI; 21:00; London STNLondon (Stansted) STN
Scotland; 30/05/19; Ryanair; 0; 9 zł; 12:30; London STNLondon (Stansted) STN; 13:50; Edinburgh EDI
Scotland; 16/05/19; Ryanair; 0; 9 zł; 19:15; Edinburgh EDI; 20:10; Derry LDY
