Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
04/19;Ryanair;1;5.76;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;1;07/05/19;Ryanair;1;9.78;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;1;30/04/19;Ryanair;1;17.29;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;1;30/04/19;Ryanair;1;14.60;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;1;08/05/19;Ryanair;1;5.76;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;1;15/05/19;Ryanair;1;9.78;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;1;15/05/19;Ryanair;1;17.29;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;14.60;19:00;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;17.29;08:40;Copenhagen CPH;20:20;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;9.78;18:45;Brussels CRLBrussels (Charleroi) CRL;10:20;Brussels CRLBrussels (Charleroi) CRL FR200
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;9.99;07:15;Copenhagen CPH;16:55;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;30/04/19;Ryanair;1;14.60;40 Co;enhagen CPH;16:55;Copenhagen CPH FR7382
2019-04-23;12:44;Denmark;Denmark;2;30/04/19;Ryanair;1;17.29;08:40;Copenhagen CPH;20:20;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;9.78;30 Aa;hus AAR;20:20;Copenhagen CPH FR301
2019-04-23;12:44;Denmark;Denmark;2;01/05/19;Ryanair;1;9.99;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;01/05/19;Ryanair;1;5.22;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;20.70;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;01/05/19;Ryanair;1;14.60;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;01/05/19;Ryanair;1;11.53;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;07/05/19;Ryanair;1;19.56;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;5.76;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;9.78;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;17.29;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;19.56;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;5.76;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;9.78;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;17.29;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;14.60;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;11.53;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;9.78;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;17.29;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;14.60;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;11.53;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;9.78;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;17.29;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;07/05/19;Ryanair;1;14.60;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;07/05/19;Ryanair;1;11.53;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;9.78;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;04/05/19;Ryanair;1;17.29;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;04/05/19;Ryanair;1;9.78;14:30;Aarhus AAR;21:45;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.29;15 Co;enhagen CPH;21:45;Copenhagen CPH FR7386
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;14.60;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;14/05/19;Ryanair;1;11.53;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;9.78;19:00;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;17.29;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;14.60;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;11.53;10:20;Billund BLL;17:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;9.78;30 Aa;hus AAR;17:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;17.29;14:30;Aarhus AAR;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;14.60;30 Aa;hus AAR;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;11.53;19:35;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;5.22;20 Bi;lund BLL;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;23.52;14:25;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;9.78;10:20;Billund BLL;17:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.99;14:25;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;9.78;14:35;Aarhus AAR;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.99;20 Bi;lund BLL;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.60;10:20;Billund BLL;17:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;14.99;30 Aa;hus AAR;17:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.60;19:35;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.99;20 Bi;lund BLL;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;9.78;19:35;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;04/05/19;Ryanair;1;14.99;10:20;Billund BLL;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;04/05/19;Ryanair;1;14.60;19:35;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;14.99;10:20;Billund BLL;22:10;Billund BLL
