Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;There_or_Back;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
2019-05-09;21:18;Austria;Austria;1;There;14/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;1;There;14/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;1;Back;21/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;1;Back;21/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;2;There;09/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;2;There;09/06/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;2;Back;16/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;2;Back;16/06/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;3;There;07/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;3;There;07/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;3;Back;14/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;3;Back;14/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;4;There;30/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;4;There;30/06/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;4;Back;07/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;4;Back;07/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;5;There;19/05/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;5;There;19/05/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;5;Back;26/05/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;5;Back;26/05/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;6;There;21/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;6;There;21/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;6;Back;28/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;6;Back;28/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;7;There;23/07/19;Laudamotion;1;9.99;06:20;Vienna VIE;08:00;Rome FCORome (Fiumicino) FCO OE1308
2019-05-09;21:18;Austria;Austria;7;There;23/07/19;Laudamotion;1;9.99;21:25;Rome FCORome (Fiumicino) FCO;23:05;Vienna VIE
2019-05-09;21:18;Austria;Austria;7;Back;28/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-09;21:18;Austria;Austria;7;Back;28/07/19;Laudamotion;1;9.07;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-09;21:18;Austria;Austria;8;There;24/07/19;Laudamotion;1;9.99;05:45;Vienna VIE;07:25;Rome FCORome (Fiumicino) FCO OE1308
2019-05-09;21:18;Austria;Austria;8;There;24/07/19;Laudamotion;1;9.99;21:25;Rome FCORome (Fiumicino) FCO;23:05;Vienna VIE
