Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
15/05/19; Ryanair; 0; 1.99; 06:25; France; Bordeaux BOD; 07:25; Nantes NTE
20/05/19; Ryanair; 0; 1.99; 07:55; France; Nantes NTE; 08:55; Bordeaux BOD
24/04/19; Ryanair; 0; 4.99; 09:15; France; Bordeaux BOD; 11:10; Venice TSFVenice (Treviso) TSF
01/05/19; Ryanair; 0; 4.99; 11:35; France; Venice TSFVenice (Treviso) TSF; 13:30; Bordeaux BOD
22/06/19; Ryanair; 0; 4.99; 11:00; France; Bordeaux BOD; 13:30; Lamezia Te SUF
29/06/19; Ryanair; 0; 4.99; 13:55; France; Lamezia Te SUF; 16:15; Bordeaux BOD
23/04/19; Ryanair; 0; 4.99; 19:25; France; Nantes NTE; 21:50; Naples NAP
30/04/19; Ryanair; 0; 4.99; 16:35; France; Naples NAP; 19:00; Nantes NTE
29/04/19; Ryanair; 0; 4.99; 09:45; France; Brest BES; 10:00; London SENLondon (Southend) SEN
06/05/19; Ryanair; 0; 5.77; 07:05; France; London SENLondon (Southend) SEN; 09:20; Brest BES
30/04/19; Ryanair; 0; 5.50; 11:30; France; Marseille MRS; 12:45; Bordeaux BOD
04/05/19; Ryanair; 0; 5.50; 13:10; France; Bordeaux BOD; 14:25; Marseille MRS
30/04/19; Ryanair; 0; 4.99; 06:30; France; Bordeaux BOD; 08:10; Ouarzazate OZZ
07/05/19; Ryanair; 0; 10.08; 07:35; France; Ouarzazate OZZ; 12:15; Bordeaux BOD
02/05/19; Ryanair; 0; 5.50; 13:10; France; Bordeaux BOD; 14:25; Marseille MRS
10/05/19; Ryanair; 0; 11.01; 11:30; France; Marseille MRS; 12:45; Bordeaux BOD
01/05/19; Ryanair; 0; 4.99; 15:55; France; Nantes NTE; 16:15; London STNLondon (Stansted) STN
08/05/19; Ryanair; 0; 11.55; 13:10; France; London STNLondon (Stansted) STN; 15:30; Nantes NTE
05/05/19; Ryanair; 0; 4.99; 10:45; France; Strasbourg SXB; 11:10; London STNLondon (Stansted) STN
12/05/19; Ryanair; 0; 11.55; 07:55; France; London STNLondon (Stansted) STN; 10:20; Strasbourg SXB
30/04/19; Ryanair; 0; 4.99; 09:55; France; Nimes FNI; 10:50; London LTNLondon (Luton) LTN
07/05/19; Ryanair; 0; 11.55; 06:35; France; London LTNLondon (Luton) LTN; 09:30; Nimes FNI
30/04/19; Ryanair; 0; 4.99; 17:05; France; La Rochell LRH; 17:35; London STNLondon (Stansted) STN
07/05/19; Ryanair; 0; 11.55; 14:05; France; London STNLondon (Stansted) STN; 16:40; La Rochell LRH
29/04/19; Ryanair; 0; 4.99; 17:30; France; Biarritz BIQ; 18:25; London STNLondon (Stansted) STN
07/05/19; Ryanair; 0; 11.55; 08:35; France; London STNLondon (Stansted) STN; 11:35; Biarritz BIQ
30/04/19; Ryanair; 0; 4.99; 16:40; France; Tours TUF; 17:05; London STNLondon (Stansted) STN
07/05/19; Ryanair; 0; 11.55; 13:55; France; London STNLondon (Stansted) STN; 16:15; Tours TUF
29/04/19; Ryanair; 0; 4.99; 17:00; France; Poitiers PIS; 17:35; London STNLondon (Stansted) STN
06/05/19; Ryanair; 0; 11.55; 14:05; France; London STNLondon (Stansted) STN; 16:35; Poitiers PIS
30/04/19; Ryanair; 0; 4.99; 23:00; France; Toulouse TLS; 23:55; London STNLondon (Stansted) STN
08/05/19; Ryanair; 0; 11.55; 07:15; France; London STNLondon (Stansted) STN; 10:15; Toulouse TLS
02/05/19; Ryanair; 0; 4.99; 14:15; France; Bordeaux BOD; 16:45; Copenhagen CPH
09/05/19; Ryanair; 0; 12.86; 17:10; France; Copenhagen CPH; 19:40; Bordeaux BOD
30/04/19; Ryanair; 0; 7.99; 14:35; France; La Rochell LRH; 16:00; Brussels CRLBrussels (Charleroi) CRL
07/05/19; Ryanair; 0; 9.99; 12:40; France; Brussels CRLBrussels (Charleroi) CRL; 14:10; La Rochell LRH
01/05/19; Ryanair; 1; 1.99; 06:25; Bordeaux BOD; 16:15; London STNLondon (Stansted) STN
01/05/19; Ryanair; 1; 4.99; 15:55; France; Nantes NTE; 07:25; Nantes NTE FR6549
08/05/19; Ryanair; 1; 11.55; 15:50; France; London STNLondon (Stansted) STN; 18:35; Bordeaux BOD
07/05/19; Ryanair; 0; 9.99; 10:15; France; Marseille MRS; 11:30; Bologna BLQ
14/05/19; Ryanair; 0; 9.99; 11:55; France; Bologna BLQ; 13:10; Marseille MRS
14/05/19; Ryanair; 0; 9.99; 13:45; France; Carcassonn CCF; 15:30; Brussels CRLBrussels (Charleroi) CRL
21/05/19; Ryanair; 0; 9.99; 11:40; France; Brussels CRLBrussels (Charleroi) CRL; 13:20; Carcassonn CCF
13/05/19; Laudamotion; 0; 9.99; 08:40; France; Marseille MRS; 10:05; Stuttgart STR
17/05/19; Laudamotion; 0; 9.99; 05:55; France; Stuttgart STR; 07:20; Marseille MRS
13/05/19; Ryanair; 0; 9.99; 19:00; France; Bordeaux BOD; 20:45; Cologne CGNCologne-Bonn CGN
20/05/19; Ryanair; 0; 9.99; 21:10; France; Cologne CGNCologne-Bonn CGN; 22:55; Bordeaux BOD
16/05/19; Ryanair; 0; 9.99; 22:30; France; Paris BVAParis (Beauvais) BVA; 00:05; Barcelona GROBarcelona (Girona) GRO
21/05/19; Ryanair; 0; 9.99; 12:40; France; Barcelona GROBarcelona (Girona) GRO; 14:25; Paris BVAParis (Beauvais) BVA
13/05/19; Ryanair; 0; 9.99; 17:45; France; Bordeaux BOD; 19:25; Milan BGYMilan (Bergamo) BGY
20/05/19; Ryanair; 0; 9.99; 15:40; France; Milan BGYMilan (Bergamo) BGY; 17:20; Bordeaux BOD
15/05/19; Ryanair; 0; 9.99; 08:35; France; Paris BVAParis (Beauvais) BVA; 10:15; Venice TSFVenice (Treviso) TSF
21/05/19; Ryanair; 0; 9.99; 11:30; France; Venice TSFVenice (Treviso) TSF; 13:20; Paris BVAParis (Beauvais) BVA
20/05/19; Ryanair; 0; 9.99; 19:55; France; Bordeaux BOD; 21:15; Valencia VLC
27/05/19; Ryanair; 0; 9.99; 21:45; France; Valencia VLC; 23:05; Bordeaux BOD
14/05/19; Laudamotion; 0; 9.99; 21:05; France; Nice NCE; 22:30; Stuttgart STR
21/05/19; Laudamotion; 0; 9.99; 19:05; France; Stuttgart STR; 20:30; Nice NCE
15/05/19; Ryanair; 0; 9.99; 17:20; France; Bordeaux BOD; 18:55; Brussels CRLBrussels (Charleroi) CRL
