Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Kraj_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
.99; 19:50; Germany; Venice TSFVenice (Treviso) TSF; 21:10; Frankfurt FRA
02/05/19; Ryanair; 0; 4.99; 18:15; Germany; Bremen BRE; 19:50; Stockholm NYOStockholm (Skavsta) NYO
07/05/19; Ryanair; 0; 4.68; 12:10; Germany; Stockholm NYOStockholm (Skavsta) NYO; 13:45; Bremen BRE
01/05/19; Ryanair; 0; 4.99; 17:30; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 17:40; London STNLondon (Stansted) STN
08/05/19; Ryanair; 0; 5.77; 14:55; Germany; London STNLondon (Stansted) STN; 17:05; Dusseldorf NRNDusseldorf (Weeze) NRN
14/05/19; Ryanair; 0; 7.01; 08:45; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 10:35; Barcelona GROBarcelona (Girona) GRO
21/05/19; Ryanair; 0; 3.99; 06:25; Germany; Barcelona GROBarcelona (Girona) GRO; 08:20; Frankfurt HHNFrankfurt (Hahn) HHN
13/05/19; Ryanair; 0; 3.99; 20:05; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 21:35; Pula PUY
20/05/19; Ryanair; 0; 7.01; 22:00; Germany; Pula PUY; 23:30; Frankfurt HHNFrankfurt (Hahn) HHN
08/05/19; Ryanair; 0; 4.99; 06:05; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 07:55; Pescara PSR
14/05/19; Ryanair; 0; 7.01; 15:50; Germany; Pescara PSR; 17:45; Frankfurt HHNFrankfurt (Hahn) HHN
04/05/19; Ryanair; 0; 4.99; 11:00; Germany; Frankfurt FRA; 12:30; Rijeka RJK
11/05/19; Ryanair; 0; 7.01; 12:55; Germany; Rijeka RJK; 14:25; Frankfurt FRA
13/05/19; Ryanair; 0; 4.99; 15:20; Germany; Frankfurt FRA; 17:15; Barcelona GROBarcelona (Girona) GRO
17/05/19; Ryanair; 0; 8.99; 20:05; Germany; Barcelona GROBarcelona (Girona) GRO; 22:00; Frankfurt FRA
07/05/19; Laudamotion; 0; 7.01; 20:00; Germany; Stuttgart STR; 21:15; Bologna BLQ
15/05/19; Laudamotion; 0; 7.01; 21:25; Germany; Bologna BLQ; 22:40; Stuttgart STR
07/05/19; Laudamotion; 0; 7.01; 11:05; Germany; Stuttgart STR; 12:10; Milan BGYMilan (Bergamo) BGY
14/05/19; Laudamotion; 0; 7.01; 12:35; Germany; Milan BGYMilan (Bergamo) BGY; 13:40; Stuttgart STR
21/05/19; Ryanair; 0; 7.01; 19:00; Germany; Frankfurt FRA; 20:20; Milan BGYMilan (Bergamo) BGY
29/05/19; Ryanair; 0; 7.01; 20:45; Germany; Milan BGYMilan (Bergamo) BGY; 22:05; Frankfurt FRA
15/05/19; Ryanair; 0; 7.99; 09:55; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 12:00; Barcelona GROBarcelona (Girona) GRO
22/05/19; Ryanair; 0; 7.99; 07:20; Germany; Barcelona GROBarcelona (Girona) GRO; 09:30; Dusseldorf NRNDusseldorf (Weeze) NRN
15/05/19; Ryanair; 0; 7.99; 08:55; Germany; Bremen BRE; 10:40; Milan BGYMilan (Bergamo) BGY
22/05/19; Ryanair; 0; 7.99; 06:45; Germany; Milan BGYMilan (Bergamo) BGY; 08:30; Bremen BRE
18/05/19; Ryanair; 0; 7.01; 19:40; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 22:05; Santiago D SCQ
23/05/19; Ryanair; 0; 8.99; 16:10; Germany; Santiago D SCQ; 18:30; Frankfurt HHNFrankfurt (Hahn) HHN
15/05/19; Ryanair; 0; 7.99; 16:25; Germany; Bremen BRE; 16:50; London STNLondon (Stansted) STN
22/05/19; Ryanair; 0; 9.24; 13:35; Germany; London STNLondon (Stansted) STN; 16:00; Bremen BRE
28/04/19; Ryanair; 0; 7.99; 11:05; Germany; Berlin SXFBerlin (Schonefeld) SXF; 12:15; Billund BLL
05/05/19; Ryanair; 0; 9.78; 12:40; Germany; Billund BLL; 13:50; Berlin SXFBerlin (Schonefeld) SXF
20/05/19; Ryanair; 0; 4.99; 17:55; Germany; Frankfurt FRA; 19:25; Pula PUY
24/05/19; Ryanair; 0; 12.99; 13:10; Germany; Pula PUY; 14:40; Frankfurt FRA
16/05/19; Ryanair; 0; 8.99; 06:30; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 08:25; Alghero AHO
23/05/19; Ryanair; 0; 8.99; 08:50; Germany; Alghero AHO; 10:50; Frankfurt HHNFrankfurt (Hahn) HHN
22/05/19; Ryanair; 0; 8.99; 08:15; Germany; Frankfurt FRA; 11:10; Sevilla SVQ
28/05/19; Ryanair; 0; 8.99; 11:40; Germany; Sevilla SVQ; 14:35; Frankfurt FRA
01/05/19; Ryanair; 0; 8.99; 13:30; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 14:35; Farranfore KIR
08/05/19; Ryanair; 0; 8.99; 15:00; Germany; Farranfore KIR; 18:00; Frankfurt HHNFrankfurt (Hahn) HHN
16/05/19; Ryanair; 0; 8.99; 20:10; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 22:00; Marrakech RAK
23/05/19; Ryanair; 0; 9.15; 14:10; Germany; Marrakech RAK; 19:45; Frankfurt HHNFrankfurt (Hahn) HHN
25/05/19; Ryanair; 0; 4.99; 12:50; Germany; Berlin SXFBerlin (Schonefeld) SXF; 14:00; Brno BRQ
01/06/19; Ryanair; 0; 13.19; 14:25; Germany; Brno BRQ; 15:35; Berlin SXFBerlin (Schonefeld) SXF
21/05/19; Ryanair; 0; 8.99; 07:20; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 09:25; Bari BRI
28/05/19; Ryanair; 0; 9.99; 09:50; Germany; Bari BRI; 12:00; Frankfurt HHNFrankfurt (Hahn) HHN
20/05/19; Ryanair; 0; 8.99; 18:25; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 20:30; Palma Mall PMI
28/05/19; Ryanair; 0; 9.99; 21:05; Germany; Palma Mall PMI; 23:20; Frankfurt HHNFrankfurt (Hahn) HHN
31/05/19; Ryanair; 0; 9.99; 09:05; Germany; Berlin SXFBerlin (Schonefeld) SXF; 10:35; Budapest BUD
08/06/19; Wizz Air; 0; 9.34; 20:05; Germany; Budapest BUD; 21:35; Berlin SXFBerlin (Schonefeld) SXF
30/05/19; Wizz Air; 0; 9.99; 15:15; Germany; Dortmund DTM; 17:10; Debrecen DEB
06/06/19; Wizz Air; 0; 9.34; 07:10; Germany; Debrecen DEB; 09:15; Dortmund DTM
22/05/19; Ryanair; 0; 9.99; 10:40; Germany; Nuernberg NUE; 12:05; Budapest BUD
28/05/19; Ryanair; 0; 9.56; 12:30; Germany; Budapest BUD; 13:55; Nuernberg NUE
07/05/19; Ryanair; 0; 9.99; 19:10; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 21:05; Stockholm NYOStockholm (Skavsta) NYO
11/05/19; Ryanair; 0; 9.84; 10:05; Germany; Stockholm NYOStockholm (Skavsta) NYO; 12:05; Dusseldorf NRNDusseldorf (Weeze) NRN
30/04/19; Ryanair; 0; 9.99; 09:40; Germany; Memmingen FMM; 11:50; Stockholm NYOStockholm (Skavsta) NYO
07/05/19; Ryanair; 0; 9.84; 12:15; Germany; Stockholm NYOStockholm (Skavsta) NYO; 14:25; Memmingen FMM
21/05/19; Ryanair; 0; 9.99; 11:30; Germany; Nuernberg NUE; 13:40; Crotone CRV
25/05/19; Ryanair; 0; 9.99; 14:05; Germany; Crotone CRV; 16:15; Nuernberg NUE
09/05/19; Ryanair; 0; 9.99; 06:05; Germany; Berlin TXLBerlin (Tegel) TXL; 07:45; Milan MXPMilan (Malpensa) MXP
15/05/19; Ryanair; 0; 9.99; 20:10; Germany; Milan MXPMilan (Malpensa) MXP; 21:50; Berlin TXLBerlin (Tegel) TXL
15/05/19; Ryanair; 0; 9.99; 14:35; Germany; Berlin SXFBerlin (Schonefeld) SXF; 16:10; Venice TSFVenice (Treviso) TSF
22/05/19; Ryanair; 0; 9.99; 16:35; Germany; Venice TSFVenice (Treviso) TSF; 18:10; Berlin SXFBerlin (Schonefeld) SXF
06/05/19; Laudamotion; 0; 9.99; 17:05; Germany; Duesseldor DUS; 19:30; Palma Mall PMI
14/05/19; Laudamotion; 0; 9.99; 08:55; Germany; Palma Mall PMI; 11:25; Duesseldor DUS
15/05/19; Ryanair; 0; 9.99; 07:25; Germany; Berlin TXLBerlin (Tegel) TXL; 08:55; Luxembourg LUX
22/05/19; Ryanair; 0; 9.99; 09:30; Germany; Luxembourg LUX; 11:00; Berlin TXLBerlin (Tegel) TXL
15/05/19; Ryanair; 0; 9.99; 19:45; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 22:40; Malaga AGP
22/05/19; Ryanair; 0; 9.99; 16:25; Germany; Malaga AGP; 19:20; Frankfurt HHNFrankfurt (Hahn) HHN
16/05/19; Laudamotion; 0; 9.99; 11:05; Germany; Stuttgart STR; 12:15; Verona VRN
21/05/19; Laudamotion; 0; 9.99; 16:05; Germany; Verona VRN; 17:15; Stuttgart STR
22/05/19; Laudamotion; 0; 9.99; 12:20; Germany; Duesseldor DUS; 14:00; Milan BGYMilan (Bergamo) BGY
26/05/19; Laudamotion; 0; 9.99; 08:35; Germany; Milan BGYMilan (Bergamo) BGY; 10:15; Duesseldor DUS
21/05/19; Ryanair; 0; 9.99; 18:10; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 20:05; Zadar ZAD
28/05/19; Ryanair; 0; 9.99; 20:30; Germany; Zadar ZAD; 22:25; Dusseldorf NRNDusseldorf (Weeze) NRN
13/05/19; Ryanair; 0; 9.99; 21:10; Germany; Cologne CGNCologne-Bonn CGN; 22:55; Bordeaux BOD
20/05/19; Ryanair; 0; 9.99; 19:00; Germany; Bordeaux BOD; 20:45; Cologne CGNCologne-Bonn CGN
14/05/19; Ryanair; 0; 9.99; 12:30; Germany; Cologne CGNCologne-Bonn CGN; 13:55; Milan BGYMilan (Bergamo) BGY
22/05/19; Ryanair; 0; 9.99; 20:15; Germany; Milan BGYMilan (Bergamo) BGY; 21:45; Cologne CGNCologne-Bonn CGN
22/05/19; Ryanair; 0; 9.99; 12:00; Germany; Cologne CGNCologne-Bonn CGN; 13:40; Bologna BLQ
30/05/19; Ryanair; 0; 9.99; 08:15; Germany; Bologna BLQ; 09:55; Cologne CGNCologne-Bonn CGN
26/07/19; Laudamotion; 0; 9.99; 14:30; Germany; Stuttgart STR; 15:40; Venice TSFVenice (Treviso) TSF
03/08/19; Laudamotion; 0; 9.99; 16:10; Germany; Venice TSFVenice (Treviso) TSF; 17:20; Stuttgart STR
16/05/19; Ryanair; 0; 9.99; 09:30; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 11:35; Rome CIARome (Ciampino) CIA
23/05/19; Ryanair; 0; 9.99; 06:50; Germany; Rome CIARome (Ciampino) CIA; 09:05; Dusseldorf NRNDusseldorf (Weeze) NRN
22/05/19; Ryanair; 0; 9.99; 10:05; Germany; Berlin SXFBerlin (Schonefeld) SXF; 12:45; Riga RIX
28/05/19; Ryanair; 0; 9.99; 13:10; Germany; Riga RIX; 13:50; Berlin SXFBerlin (Schonefeld) SXF
15/05/19; Wizz Air; 0; 9.99; 08:45; Germany; Dortmund DTM; 11:35; Klaipeda PLQKlaipeda-Palanga PLQ
22/05/19; Wizz Air; 0; 9.99; 12:05; Germany; Klaipeda PLQKlaipeda-Palanga PLQ; 13:00; Dortmund DTM
22/05/19; Ryanair; 0; 9.99; 15:30; Germany; Berlin SXFBerlin (Schonefeld) SXF; 17:15; Banja Luka BNX
29/05/19; Ryanair; 0; 9.99; 17:40; Germany; Banja Luka BNX; 19:25; Berlin SXFBerlin (Schonefeld) SXF
07/05/19; Ryanair; 0; 9.99; 16:55; Germany; Berlin TXLBerlin (Tegel) TXL; 19:15; Brindisi BDS
14/05/19; Ryanair; 0; 9.99; 19:45; Germany; Brindisi BDS; 22:05; Berlin TXLBerlin (Tegel) TXL
21/05/19; Ryanair; 0; 9.99; 19:00; Germany; Memmingen FMM; 20:15; Zadar ZAD
28/05/19; Ryanair; 0; 9.99; 20:40; Germany; Zadar ZAD; 21:55; Memmingen FMM
15/05/19; Ryanair; 0; 9.99; 12:25; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 14:30; Pescara PSR
22/05/19; Ryanair; 0; 9.99; 09:50; Germany; Pescara PSR; 12:00; Dusseldorf NRNDusseldorf (Weeze) NRN
15/05/19; Ryanair; 0; 9.99; 10:40; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 12:45; Barcelona REUBarcelona (Reus) REU
22/05/19; Ryanair; 0; 9.99; 13:10; Germany; Barcelona REUBarcelona (Reus) REU; 15:25; Frankfurt HHNFrankfurt (Hahn) HHN
03/05/19; Laudamotion; 0; 9.99; 05:55; Germany; Stuttgart STR; 07:20; Marseille MRS
10/05/19; Laudamotion; 0; 9.99; 07:50; Germany; Marseille MRS; 09:15; Stuttgart STR
09/05/19; Ryanair; 0; 9.99; 11:50; Germany; Cologne CGNCologne-Bonn CGN; 13:20; Venice TSFVenice (Treviso) TSF
14/05/19; Ryanair; 0; 9.99; 13:55; Germany; Venice TSFVenice (Treviso) TSF; 15:30; Cologne CGNCologne-Bonn CGN
04/05/19; Laudamotion; 0; 9.99; 06:50; Germany; Stuttgart STR; 08:10; Pula PUY
09/05/19; Laudamotion; 0; 9.99; 12:25; Germany; Pula PUY; 13:45; Stuttgart STR
23/05/19; Laudamotion; 0; 9.99; 19:35; Germany; Stuttgart STR; 21:00; Nice NCE
28/05/19; Laudamotion; 0; 9.99; 21:05; Germany; Nice NCE; 22:30; Stuttgart STR
05/05/19; Laudamotion; 0; 9.99; 15:35; Germany; Munich MUC; 17:45; Palma Mall PMI
