Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
Te; uan TTU; 05:40; Tetuan TTU FR4539
Spain; 26/05/19; Ryanair; 1; 3 zł; 35 Ta; gier TNG; 06:10; Tangier TNG FR5539
Spain; 26/05/19; Ryanair; 1; 2 zł; 06:35; Tangier TNG; 10:00; Valencia VLC
Spain; 19/05/19; Ryanair; 1; 2 zł; 06:00; Rabat RBA; 09:05; Sevilla SVQ
Spain; 19/05/19; Ryanair; 1; 3 zł; 00 Ba; celona BCN; 09:05; Sevilla SVQ FR5496
Spain; 12/05/19; Ryanair; 1; 3 zł; 05 Va; encia VLC; 17:10; Sevilla SVQ FR1187
Spain; 12/05/19; Ryanair; 1; 2 zł; 23:05; Valencia VLC; 22:35; Fez FEZ
Spain; 08/05/19; Ryanair; 1; 3 zł; 13:05; Sevilla SVQ; 11:55; Tangier TNG
Spain; 08/05/19; Ryanair; 1; 3 zł; 00 Ta; gier TNG; 11:55; Tangier TNG FR5527
Spain; 20/05/19; Ryanair; 1; 3 zł; 25 Va; encia VLC; 23:20; Valencia VLC FR7210
Spain; 20/05/19; Ryanair; 1; 4 zł; 21:25; Valencia VLC; 22:10; Ibiza IBZ
Spain; 16/05/19; easyJet; 1; 6 zł; 35 Pa; ma Mall PMI; 12:00; Palma Mall PMI U24845
Spain; 16/05/19; easyJet; 1; 1 zł; 12:35; Palma Mall PMI; 14:10; Nice NCE
Egypt; 04/12/19; Ryanair; 1; 21 zł; 08:45; London STNLondon (Stansted) STN; 19:40; Hurghada HRG
Egypt; 04/12/19; easyJet; 1; 17 zł; 14:25; Milan MXPMilan (Malpensa) MXP; 11:40; Milan MXPMilan (Malpensa) MXP FR8729
Scotland; 08/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 17:05; Dusseldorf NRNDusseldorf (Weeze) NRN
Scotland; 08/05/19; Ryanair; 1; 4 zł; 14:55; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 08/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 21:10; Luxembourg LUX
Scotland; 08/05/19; Ryanair; 1; 4 zł; 18:55; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 15/05/19; Ryanair; 1; 9 zł; 13:50; Edinburgh EDI; 22:00; London STNLondon (Stansted) STN
Scotland; 15/05/19; Ryanair; 1; 0 zł; 21:45; Luxembourg LUX; 16:40; Luxembourg LUX FR2354
Scotland; 14/05/19; Ryanair; 1; 2 zł; 12:15; Stockholm NYOStockholm (Skavsta) NYO; 18:30; Edinburgh EDI
Scotland; 14/05/19; Ryanair; 1; 5 zł; 17:15; Memmingen FMM; 14:25; Memmingen FMM FR1873
Scotland; 08/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 17:10; Carcassonn CCF
Scotland; 08/05/19; Ryanair; 1; 9 zł; 14:10; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 22/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 14:50; Memmingen FMM
Scotland; 22/05/19; Ryanair; 1; 9 zł; 12:05; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 14/05/19; Ryanair; 1; 9 zł; 12:05; London STNLondon (Stansted) STN; 18:30; Edinburgh EDI
Scotland; 14/05/19; Ryanair; 1; 5 zł; 17:15; Memmingen FMM; 14:50; Memmingen FMM FR2404
Scotland; 15/05/19; Ryanair; 1; 1 zł; 17:30; Dusseldorf NRNDusseldorf (Weeze) NRN; 21:25; Edinburgh EDI
Scotland; 15/05/19; Ryanair; 1; 4 zł; 20:05; London STNLondon (Stansted) STN; 17:40; London STNLondon (Stansted) STN FR2296
Scotland; 15/05/19; Ryanair; 1; 2 zł; 08:55; Luxembourg LUX; 19:25; Edinburgh EDI
Scotland; 15/05/19; Ryanair; 1; 4 zł; 17:50; Milan BGYMilan (Bergamo) BGY; 10:10; Milan BGYMilan (Bergamo) BGY FR5836
Scotland; 02/05/19; Ryanair; 1; 4 zł; 08:50; Edinburgh EDI; 16:45; Copenhagen CPH
Scotland; 02/05/19; Ryanair; 1; 1 zł; 14:15; Bordeaux BOD; 12:10; Bordeaux BOD FR6654
Scotland; 08/05/19; Ryanair; 1;  zł; 06:25; Bordeaux BOD; 11:10; Edinburgh EDI
Scotland; 08/05/19; Ryanair; 1; 7 zł; 10:20; Nantes NTE; 07:25; Nantes NTE FR6549
Scotland; 14/05/19; Ryanair; 1; 2 zł; 11:40; Brussels CRLBrussels (Charleroi) CRL; 17:05; Edinburgh EDI
Scotland; 14/05/19; Ryanair; 1; 5 zł; 15:40; Carcassonn CCF; 13:20; Carcassonn CCF FR8023
Scotland; 09/05/19; Ryanair; 1; 2 zł; 20 Ba; celona GROBarcelona (Girona) GRO; 23:15; Barcelona GROBarcelona (Girona) GRO FR9003
Scotland; 09/05/19; Ryanair; 1; 4 zł; 07:20; Barcelona GROBarcelona (Girona) GRO; 15:15; Edinburgh EDI
Scotland; 09/05/19; Ryanair; 1; 7 zł; 20:00; Edinburgh EDI; 23:40; Barcelona GROBarcelona (Girona) GRO
Scotland; 09/05/19; Ryanair; 1; 9 zł; 20 Ba; celona GROBarcelona (Girona) GRO; 23:40; Barcelona GROBarcelona (Girona) GRO FR9304
Scotland; 01/05/19; Ryanair; 1; 9 zł; 22:20; Santander SDR; 23:40; Edinburgh EDI
Scotland; 01/05/19; Ryanair; 1; 7 zł; 50 Ed; nburgh EDI; 23:40; Edinburgh EDI FR7617
Scotland; 09/05/19; Ryanair; 1; 0 zł; 05:55; London STNLondon (Stansted) STN; 18:45; Edinburgh EDI
Scotland; 09/05/19; Ryanair; 1; 4 zł; 18:10; Billund BLL; 08:30; Billund BLL FR9769
Scotland; 08/05/19; Ryanair; 1; 4 zł; 21:55; Aberdeen ABZ; 00:55; Gdansk GDN
Scotland; 08/05/19; Ryanair; 1; 4 zł; 00 Gd; nsk GDN; 00:55; Gdansk GDN W61618
Scotland; 30/04/19; Ryanair; 1; 4 zł; 10:40; Brussels CRLBrussels (Charleroi) CRL; 11:20; Glasgow GLA
Scotland; 30/04/19; Ryanair; 1; 4 zł; 15 Ed; nburgh EDI; 11:20; Glasgow GLA FR2558
Scotland; 08/05/19; Ryanair; 1; 4 zł; 11:35; Edinburgh EDI; 15:05; Beziers BZR
Scotland; 08/05/19; Ryanair; 1; 7 zł; 30 Be; iers BZR; 15:05; Beziers BZR FR7834
Scotland; 08/05/19; Ryanair; 1; 4 zł; 13:10; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 08/05/19; Ryanair; 1; 9 zł; 20 Na; tes NTE; 15:30; Nantes NTE FR8503
Scotland; 08/05/19; Ryanair; 1; 9 zł; 17:30; Glasgow PIKGlasgow (Prestwick) PIK; 20:50; Bydgoszcz BZG
Scotland; 08/05/19; Ryanair; 1; 7 zł; 15 By; goszcz BZG; 20:50; Bydgoszcz BZG FR7624
Scotland; 08/05/19; Ryanair; 1; 4 zł; 11:10; Edinburgh EDI; 12:50; Jersey JER
Scotland; 08/05/19; Ryanair; 1; 4 zł; 20 Je; sey JER; 12:50; Jersey JER U26963
Scotland; 14/05/19; Ryanair; 1; 4 zł; 50 Ed; nburgh EDI; 21:25; Edinburgh EDI FR8887
Scotland; 14/05/19; Ryanair; 1; 1 zł; 12:50; Edinburgh EDI; 15:40; Goteborg GOTGoteborg (Landvetter) GOT
Scotland; 09/05/19; Ryanair; 1; 04 zł; 06:45; Edinburgh EDI; 16:20; Venice TSFVenice (Treviso) TSF
Scotland; 09/05/19; Ryanair; 1; 5 zł; 14:45; Berlin SXFBerlin (Schonefeld) SXF; 09:50; Berlin SXFBerlin (Schonefeld) SXF FR2376
Scotland; 02/05/19; Ryanair; 1; 2 zł; 11:30; Edinburgh EDI; 19:40; Palma Mall PMI
Scotland; 02/05/19; Ryanair; 1; 4 zł; 17:20; Dusseldorf NRNDusseldorf (Weeze) NRN; 14:10; Dusseldorf NRNDusseldorf (Weeze) NRN FR6242
Scotland; 08/05/19; Ryanair; 1; 5 zł; 08:50; Edinburgh EDI; 14:25; Marseille MRS
Scotland; 08/05/19; Ryanair; 1; 7 zł; 13:10; Bordeaux BOD; 12:10; Bordeaux BOD FR6654
Scotland; 29/05/19; Ryanair; 1; 5 zł; 25 Bo; deaux BOD; 18:35; Bordeaux BOD FR1782
Scotland; 29/05/19; Ryanair; 1; 9 zł; 06:25; Bordeaux BOD; 11:10; Edinburgh EDI
Scotland; 07/05/19; Ryanair; 1; 4 zł; 06:50; Edinburgh EDI; 22:30; Hamburg HAM
Scotland; 07/05/19; Ryanair; 1; 4 zł; 20:00; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 23/05/19; Ryanair; 1; 9 zł; 09:00; Inverness INV; 10:20; Bristol BRS
Scotland; 23/05/19; Ryanair; 1; 9 zł; 00 Br; stol BRS; 10:20; Bristol BRS U2394
Scotland; 08/05/19; Ryanair; 1; 4 zł; 30 Ro; e CIARome (Ciampino) CIA; 21:05; Rome CIARome (Ciampino) CIA FR7342
Scotland; 08/05/19; easyJet; 1; 0 zł; 21:30; Rome CIARome (Ciampino) CIA; 23:40; Glasgow PIKGlasgow (Prestwick) PIK
Scotland; 22/05/19; Ryanair; 1; 7 zł; 20:05; London STNLondon (Stansted) STN; 15:55; London STNLondon (Stansted) STN FR2405
Scotland; 22/05/19; Ryanair; 1; 9 zł; 50 Ed; nburgh EDI; 21:25; Edinburgh EDI FR8887
Scotland; 23/05/19; Ryanair; 1; 4 zł; 17:25; Brussels CRLBrussels (Charleroi) CRL; 13:50; Brussels CRLBrussels (Charleroi) CRL FR6034
Scotland; 23/05/19; Ryanair; 1; 2 zł; 40 Gl; sgow PIKGlasgow (Prestwick) PIK; 18:05; Edinburgh EDI FR7353
Scotland; 08/05/19; Ryanair; 1; 4 zł; 00 Gl; sgow PIKGlasgow (Prestwick) PIK; 08:15; Glasgow PIKGlasgow (Prestwick) PIK FR7847
Scotland; 08/05/19; Ryanair; 1; 4 zł; 07:00; Glasgow PIKGlasgow (Prestwick) PIK; 11:35; Gran Canar LPA
Scotland; 22/05/19; Ryanair; 1; 17 zł; 11:30; Edinburgh EDI; 20:55; Fez FEZ
Scotland; 22/05/19; Ryanair; 1; 7 zł; 19:35; Dusseldorf NRNDusseldorf (Weeze) NRN; 14:10; Dusseldorf NRNDusseldorf (Weeze) NRN FR6242
Scotland; 09/05/19; Ryanair; 1; 06 zł; 50 Ed; nburgh EDI; 21:25; Edinburgh EDI FR8887
Scotland; 09/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 23:00; Vienna VIE
Scotland; 22/05/19; Laudamotion; 1; 9 zł; 12:30; London STNLondon (Stansted) STN; 08:45; London STNLondon (Stansted) STN FR1161
Scotland; 22/05/19; Laudamotion; 1; 4 zł; 00 Ed; nburgh EDI; 13:50; Edinburgh EDI FR8883
Scotland; 22/05/19; Ryanair; 1; 9 zł; 50 Ba; celona BCN; 22:50; Barcelona BCN FR7823
Scotland; 22/05/19; Ryanair; 1; 9 zł; 21:50; Barcelona BCN; 23:45; Glasgow PIKGlasgow (Prestwick) PIK
Scotland; 15/05/19; Ryanair; 1; 4 zł; 14:10; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 15/05/19; Ryanair; 1; 13 zł; 30 Go; eborg GOTGoteborg (Landvetter) GOT; 17:05; Goteborg GOTGoteborg (Landvetter) GOT FR964
Scotland; 29/05/19; Ryanair; 1; 4 zł; 40 Ed; nburgh EDI; 07:50; Edinburgh EDI FR812
Scotland; 29/05/19; Ryanair; 1; 5 zł; 14:40; Edinburgh EDI; 17:40; Karlsruhe FKBKarlsruhe-Baden Baden FKB
Scotland; 22/05/19; Ryanair; 1; 9 zł; 00 Ed; nburgh EDI; 21:25; Edinburgh EDI FR8887
Scotland; 22/05/19; Ryanair; 1; 5 zł; 16:00; Edinburgh EDI; 19:20; Faro FAO
Scotland; 08/05/19; Ryanair; 1; 7 zł; 18:00; Pisa PSA; 19:45; Edinburgh EDI
Scotland; 08/05/19; Ryanair; 1; 4 zł; 10 Ed; nburgh EDI; 19:45; Edinburgh EDI FR2752
Scotland; 23/05/19; Ryanair; 1; 8 zł; 06:00; Basel-Mulh BSLBasel-Mulhouse-Freiburg (BSL) BSL; 07:10; Edinburgh EDI
Scotland; 23/05/19; Ryanair; 1; 4 zł; 50 Ed; nburgh EDI; 07:10; Edinburgh EDI U26917
