Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;08/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;08/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;07/05/19;Ryanair;1;19.77;14:30;Edinburgh EDI;16:05;London STNLondon (Stansted) STN FR2684
2019-04-24;14:19;Scotland;Scotland;1;07/05/19;Ryanair;1;11.53;20:05;London STNLondon (Stansted) STN;21:25;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;20:05;London STNLondon (Stansted) STN;21:25;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;20:05;London STNLondon (Stansted) STN;21:25;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;19.77;12:30;London STNLondon (Stansted) STN;13:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;19.77;20:05;London STNLondon (Stansted) STN;21:25;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;22/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;19.77;12:30;London STNLondon (Stansted) STN;13:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;10:40;Edinburgh EDI;12:05;London STNLondon (Stansted) STN FR8884
2019-04-24;14:19;Scotland;Scotland;1;29/05/19;Ryanair;1;11.53;20:05;London STNLondon (Stansted) STN;21:25;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;15/05/19;Ryanair;1;11.53;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;11.53;06:50;Edinburgh EDI;08:25;London STNLondon (Stansted) STN FR8882
2019-04-24;14:19;Scotland;Scotland;1;21/05/19;Ryanair;1;19.77;16:30;London STNLondon (Stansted) STN;17:50;Edinburgh EDI
