Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;There_or_Back;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
2019-05-14;18:51;Austria;Austria;1;There;09/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;1;There;09/06/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;1;Back;16/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;1;Back;16/06/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;2;There;30/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;2;There;30/06/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;2;Back;07/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;2;Back;07/07/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;3;There;14/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;3;There;14/07/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;3;Back;21/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;3;Back;21/07/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;4;There;07/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;4;There;07/07/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;4;Back;14/07/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;4;Back;14/07/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;5;There;09/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;5;There;09/06/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;5;Back;14/06/19;Laudamotion;1;9.99;18:05;Vienna VIE;19:25;Bologna BLQ OE1302
2019-05-14;18:51;Austria;Austria;5;Back;14/06/19;Laudamotion;1;9.99;20:40;Bologna BLQ;22:00;Vienna VIE
2019-05-14;18:51;Austria;Austria;6;There;16/06/19;Laudamotion;1;9.99;20:45;Vienna VIE;21:45;Krakow KRK OE1304
2019-05-14;18:51;Austria;Austria;6;There;16/06/19;Laudamotion;1;9.05;22:40;Krakow KRK;23:40;Vienna VIE
2019-05-14;18:51;Austria;Austria;6;Back;21/06/19;Laudamotion;1;9.99;18:05;Vienna VIE;19:25;Bologna BLQ OE1302
2019-05-14;18:51;Austria;Austria;6;Back;21/06/19;Laudamotion;1;9.99;20:40;Bologna BLQ;22:00;Vienna VIE
